"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","GAB.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Gabon","Assets, Claims on Private sector","Domestic currency","Annual","Millions","460663","455662","434960","379880","427633","515424","593310","600845","574270","582668","816125","988650","1302216","1304474","1231730","1146436","888921","1223051","1319854","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","NGA.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Nigeria","Assets, Claims on Private sector","Domestic currency","Annual","Millions","810531.4","928171.2","1206152","1531666.3","1948087.52","2463738.7","4642431.38024052","7420755.08787983","8519979.66556909","7350480.72900768","6965111.6308184","7661622.09042356","9335934.46149536","11979396.5712554","12436824.0850127","14973144.7890255","14680988.0008916","13140416.7551215","15191224.64","17319556.228765","21476719.4906954","26124366.1312129","41227079.0285736","",""
"IMF.STA:MFS_DC(8.0.0)","GHA.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Ghana","Assets, Claims on Private sector","Domestic currency","Annual","Millions","447.1736258","586.404548426524","819.496386015226","1043.179406951883","1500.69145174465","2061.229491273312","3338.34804278012","3790.115186885","6449.47075146804","7344.366264493987","9887.606176991051","12926.883380502","18103.37607745368","24979.10480113","31418.2925209871","36303.01900522","39776.42949631","39437.81281776","46498.35761205","47371.88130810346","55517.7529895722","69239.8397454884","76801.26181569","97399.61090944",""
"IMF.STA:MFS_DC(8.0.0)","ERI.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Eritrea, The State of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","3688.54771588","4520.603","5156.394","5772.47682445","6570.41908759","7265.89906906","8450.80298216","10102.18334672","10633.1373282","11483.73522787","12337.58939553","13799.25245476","16104.5104551","17935.69808576","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CAN.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Canada","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","366172.205","390092.666","405070.828","439988.911","463935.368","515465.638","452815.907","566406.469","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CMR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Cameroon","Assets, Claims on Private sector","Domestic currency","Annual","Millions","629009","694577","762984","773912","864380","887430","948880","1140250","1264930","1464250","1773730","1904700","2152850","2459970","2695114","2872075","2939690","3252321","3267468","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CMR.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Cameroon","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","292698","384158","370633","405490","454970","501610","605020","739070","828840","910950","1089990","1015690","1219220","1465430","1475447","1492810","1586737","1805925","1909403","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CAN.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Canada","Assets, Claims on Private sector","Domestic currency","Annual","Millions","1388925.633","1406634.272","1420882.142","1542004.04","1729501.249","2007217.128","1948940.952","2056349.716","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","TCD.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Chad","Assets, Claims on Private sector","Domestic currency","Annual","Millions","54362","58356","66722","73090","89111","85975","99271","141442","171233","222773","276491","364900","386670","533905","537054","742085","700752","697291","653954","616645","773713","","","",""
"IMF.STA:MFS_DC(8.0.0)","CAF.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Central African Republic","Assets, Claims on Private sector","Domestic currency","Annual","Millions","41732","40357","40961","48045","48666","51212","55204","61737","67091","87366","104153","136391","111721","117787","115319","130582","131966","149215","149065","152965","160867","189720","","",""
"IMF.STA:MFS_DC(8.0.0)","GNQ.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Equatorial Guinea, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","26576","42527","75348","119681","174251","185700","278791","418909","520588","659952","599330","1021997","1093243","839760","784064","572329","526343","511989","444057","377385","469766","409874","475469","",""
"IMF.STA:MFS_DC(8.0.0)","BLR.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Belarus, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","112.28495927","165.78354934","245.54389569","329.64","478.87238","648.83859","828.92906","1028.30703","1123.69816","1421.8363","2843.14066","3875.35137","4383.77605","5074.64913","6397.5748","6808.449","10084.351","11801.51","13992.047","15657.422","17709.909","","","",""
"IMF.STA:MFS_DC(8.0.0)","GHA.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Ghana","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","608.3558243568201","832.745396825988","855.756732318086","1115.410696701143","1341.286327144254","1921.880000000001","2607.780207544457","3577.310071104","4302.672494997702","5872.949072995006","8302.501950151701","11108.27556563428","13007.02853489445","18232.86740043","21902.87788407","26725.0643555","29253.41892463","35543.6970151","47621.36563098","59913.62611295","69912.18991747","92549.479254733","127318.50835007","169900.91995835",""
"IMF.STA:MFS_DC(8.0.0)","GAB.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Gabon","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","183326","193762","197481","207828","300256","344437","388808","473829","461662","641947","883185","863935","1020132","920587","962323","913869","722550","1024770","1191049","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","GMB.ODCORP_L_F22_IBM.XDC.A","OBS_VALUE","Gambia, The","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Annual","Millions","524.66","959.404","1682.2","1674.973","1857.684","2187.814","2491.296","3247.172","3151.035","3915.514","4250.577","4523.756","6128.132","6736","","","8095.506","10065.338","14719.191","17424.399","23059.797","24921.678","28469.869","33755.538",""
"IMF.STA:MFS_DC(8.0.0)","TZA.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Tanzania, United Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","868911.26400846","1040342.73979871","1249469.84543391","1286010.58489102","1778078.68220838","2242362.940468","2642652.27164","3166735.44029","3923715.69380365","4699979.0053091","5208194.7534496","5723413.090585","6450954.4273968","7577674.1646692","8818126.60816076","9082429.66808171","9727540.97287772","9959027.95477309","10564305.4403711","11199039.3607658","12012599.9323564","14340002.4879686","16702498.53768","18863514.929168",""
